idx,channel,size,syt_be,syt
0,1,72,0xD570,28885
2,1,8,0xFFFF,65535
4,1,72,0xE96F,28649
6,1,72,0x0170,28673
8,1,72,0x1570,28693
10,1,8,0xFFFF,65535
12,1,72,0x2970,28713
14,1,72,0x416F,28481
16,1,72,0x556F,28501
18,1,8,0xFFFF,65535
20,1,72,0x696F,28521
22,1,72,0x816F,28545
24,1,72,0x956F,28565
26,1,8,0xFFFF,65535
28,1,72,0xA970,28841
30,1,72,0xC16F,28609
32,1,72,0xD570,28885
34,1,8,0xFFFF,65535
36,1,72,0xE970,28905
38,1,72,0x016F,28417
40,1,72,0x156F,28437
42,1,8,0xFFFF,65535
44,1,72,0x296F,28457
46,1,72,0x416F,28481
48,1,72,0x556F,28501
50,1,8,0xFFFF,65535
52,1,72,0x6970,28777
54,1,72,0x816F,28545
56,1,72,0x9570,28821
58,1,8,0xFFFF,65535
60,1,72,0xA96F,28585
62,1,72,0xC16F,28609
64,1,72,0xD570,28885
66,1,8,0xFFFF,65535
68,1,72,0xE96F,28649
70,1,72,0x016F,28417
72,1,72,0x156F,28437
74,1,8,0xFFFF,65535
76,1,72,0x296F,28457
78,1,72,0x4170,28737
80,1,72,0x556F,28501
82,1,8,0xFFFF,65535
84,1,72,0x6970,28777
86,1,72,0x8170,28801
88,1,72,0x9570,28821
90,1,8,0xFFFF,65535
92,1,72,0xA96F,28585
94,1,72,0xC16F,28609
96,1,72,0xD56F,28629
98,1,8,0xFFFF,65535
100,1,72,0xE970,28905
102,1,72,0x0170,28673
104,1,72,0x1570,28693
106,1,8,0xFFFF,65535
108,1,72,0x2970,28713
110,1,72,0x416F,28481
112,1,72,0x5570,28757
114,1,8,0xFFFF,65535
116,1,72,0x6970,28777
118,1,72,0x8170,28801
120,1,72,0x9570,28821
122,1,8,0xFFFF,65535
124,1,72,0xA96F,28585
126,1,72,0xC16F,28609
128,1,72,0xD570,28885
130,1,8,0xFFFF,65535
132,1,72,0xE970,28905
134,1,72,0x0170,28673
136,1,72,0x1570,28693
138,1,8,0xFFFF,65535
140,1,72,0x2970,28713
142,1,72,0x416F,28481
144,1,72,0x5570,28757
146,1,8,0xFFFF,65535
148,1,72,0x6970,28777
150,1,72,0x8170,28801
152,1,72,0x9570,28821
154,1,8,0xFFFF,65535
156,1,72,0xA970,28841
158,1,72,0xC170,28865
160,1,72,0xD570,28885
162,1,8,0xFFFF,65535
164,1,72,0xE96F,28649
166,1,72,0x0170,28673
168,1,72,0x1570,28693
170,1,8,0xFFFF,65535
172,1,72,0x296F,28457
174,1,72,0x4170,28737
176,1,72,0x556F,28501
178,1,8,0xFFFF,65535
180,1,72,0x696F,28521
182,1,72,0x816F,28545
184,1,72,0x956F,28565
186,1,8,0xFFFF,65535
188,1,72,0xA96F,28585
190,1,72,0xC170,28865
192,1,72,0xD56F,28629
194,1,8,0xFFFF,65535
196,1,72,0xE970,28905
198,1,72,0x0170,28673
200,1,72,0x1570,28693
202,1,8,0xFFFF,65535
204,1,72,0x296F,28457
206,1,72,0x416F,28481
208,1,72,0x5570,28757
210,1,8,0xFFFF,65535
212,1,72,0x696F,28521
214,1,72,0x8170,28801
216,1,72,0x9570,28821
218,1,8,0xFFFF,65535
220,1,72,0xA96F,28585
222,1,72,0xC170,28865
224,1,72,0xD56F,28629
226,1,8,0xFFFF,65535
228,1,72,0xE970,28905
230,1,72,0x016F,28417
232,1,72,0x1570,28693
234,1,8,0xFFFF,65535
236,1,72,0x296F,28457
238,1,72,0x4170,28737
240,1,72,0x5570,28757
242,1,8,0xFFFF,65535
244,1,72,0x696F,28521
246,1,72,0x8170,28801
248,1,72,0x9570,28821
250,1,8,0xFFFF,65535
252,1,72,0xA96F,28585
254,1,72,0xC170,28865
256,1,72,0xD570,28885
258,1,8,0xFFFF,65535
260,1,72,0xE96F,28649
262,1,72,0x0170,28673
264,1,72,0x1570,28693
266,1,8,0xFFFF,65535
268,1,72,0x296F,28457
270,1,72,0x4170,28737
272,1,72,0x556F,28501
274,1,8,0xFFFF,65535
276,1,72,0x696F,28521
278,1,72,0x8170,28801
280,1,72,0x9570,28821
282,1,8,0xFFFF,65535
284,1,72,0xA970,28841
286,1,72,0xC170,28865
288,1,72,0xD570,28885
290,1,8,0xFFFF,65535
292,1,72,0xE96F,28649
294,1,72,0x016F,28417
296,1,72,0x156F,28437
298,1,8,0xFFFF,65535
300,1,72,0x296F,28457
302,1,72,0x4170,28737
304,1,72,0x556F,28501
306,1,8,0xFFFF,65535
308,1,72,0x696F,28521
310,1,72,0x816F,28545
312,1,72,0x956F,28565
314,1,8,0xFFFF,65535
316,1,72,0xA970,28841
318,1,72,0xC170,28865
320,1,72,0xD570,28885
322,1,8,0xFFFF,65535
324,1,72,0xE970,28905
326,1,72,0x0170,28673
328,1,72,0x1570,28693
330,1,8,0xFFFF,65535
332,1,72,0x2970,28713
334,1,72,0x4170,28737
336,1,72,0x5570,28757
