seq,channel,size,sid,dbs,fn_q,dbc,fmt,fdf,syt_be,syt
1,0,8,2,2,0,232,144,2,0xFFFF,65535
3,0,72,2,2,0,232,144,2,0xE970,28905
5,0,72,2,2,0,240,144,2,0x016F,28417
7,0,72,2,2,0,248,144,2,0x156F,28437
9,0,8,2,2,0,0,144,2,0xFFFF,65535
11,0,72,2,2,0,0,144,2,0x296F,28457
13,0,72,2,2,0,8,144,2,0x4170,28737
15,0,72,2,2,0,16,144,2,0x556F,28501
17,0,8,2,2,0,24,144,2,0xFFFF,65535
19,0,72,2,2,0,24,144,2,0x696F,28521
21,0,72,2,2,0,32,144,2,0x816F,28545
23,0,72,2,2,0,40,144,2,0x956F,28565
25,0,8,2,2,0,48,144,2,0xFFFF,65535
27,0,72,2,2,0,48,144,2,0xA970,28841
29,0,72,2,2,0,56,144,2,0xC170,28865
31,0,72,2,2,0,64,144,2,0xD56F,28629
33,0,8,2,2,0,72,144,2,0xFFFF,65535
35,0,72,2,2,0,72,144,2,0xE970,28905
37,0,72,2,2,0,80,144,2,0x016F,28417
39,0,72,2,2,0,88,144,2,0x156F,28437
41,0,8,2,2,0,96,144,2,0xFFFF,65535
43,0,72,2,2,0,96,144,2,0x2970,28713
45,0,72,2,2,0,104,144,2,0x416F,28481
47,0,72,2,2,0,112,144,2,0x5570,28757
49,0,8,2,2,0,120,144,2,0xFFFF,65535
51,0,72,2,2,0,120,144,2,0x696F,28521
53,0,72,2,2,0,128,144,2,0x8170,28801
55,0,72,2,2,0,136,144,2,0x9570,28821
57,0,8,2,2,0,144,144,2,0xFFFF,65535
59,0,72,2,2,0,144,144,2,0xA96F,28585
61,0,72,2,2,0,152,144,2,0xC16F,28609
63,0,72,2,2,0,160,144,2,0xD570,28885
65,0,8,2,2,0,168,144,2,0xFFFF,65535
67,0,72,2,2,0,168,144,2,0xE970,28905
69,0,72,2,2,0,176,144,2,0x0170,28673
71,0,72,2,2,0,184,144,2,0x1570,28693
73,0,8,2,2,0,192,144,2,0xFFFF,65535
75,0,72,2,2,0,192,144,2,0x296F,28457
77,0,72,2,2,0,200,144,2,0x416F,28481
79,0,72,2,2,0,208,144,2,0x5570,28757
81,0,8,2,2,0,216,144,2,0xFFFF,65535
83,0,72,2,2,0,216,144,2,0x6970,28777
85,0,72,2,2,0,224,144,2,0x8170,28801
87,0,72,2,2,0,232,144,2,0x956F,28565
89,0,8,2,2,0,240,144,2,0xFFFF,65535
91,0,72,2,2,0,240,144,2,0xA96F,28585
93,0,72,2,2,0,248,144,2,0xC170,28865
95,0,72,2,2,0,0,144,2,0xD56F,28629
97,0,8,2,2,0,8,144,2,0xFFFF,65535
99,0,72,2,2,0,8,144,2,0xE970,28905
101,0,72,2,2,0,16,144,2,0x016F,28417
103,0,72,2,2,0,24,144,2,0x1570,28693
105,0,8,2,2,0,32,144,2,0xFFFF,65535
107,0,72,2,2,0,32,144,2,0x296F,28457
109,0,72,2,2,0,40,144,2,0x4170,28737
111,0,72,2,2,0,48,144,2,0x556F,28501
113,0,8,2,2,0,56,144,2,0xFFFF,65535
115,0,72,2,2,0,56,144,2,0x696F,28521
117,0,72,2,2,0,64,144,2,0x8170,28801
119,0,72,2,2,0,72,144,2,0x9570,28821
121,0,8,2,2,0,80,144,2,0xFFFF,65535
123,0,72,2,2,0,80,144,2,0xA970,28841
125,0,72,2,2,0,88,144,2,0xC16F,28609
127,0,72,2,2,0,96,144,2,0xD570,28885
129,0,8,2,2,0,104,144,2,0xFFFF,65535
131,0,72,2,2,0,104,144,2,0xE96F,28649
133,0,72,2,2,0,112,144,2,0x016F,28417
135,0,72,2,2,0,120,144,2,0x1570,28693
137,0,8,2,2,0,128,144,2,0xFFFF,65535
139,0,72,2,2,0,128,144,2,0x2970,28713
141,0,72,2,2,0,136,144,2,0x4170,28737
143,0,72,2,2,0,144,144,2,0x556F,28501
145,0,8,2,2,0,152,144,2,0xFFFF,65535
147,0,72,2,2,0,152,144,2,0x6970,28777
149,0,72,2,2,0,160,144,2,0x816F,28545
151,0,72,2,2,0,168,144,2,0x9570,28821
153,0,8,2,2,0,176,144,2,0xFFFF,65535
155,0,72,2,2,0,176,144,2,0xA96F,28585
