idx0,size0,syt0_be,syt0,idx1,size1,syt1_be,syt1
1,8,0xFFFF,65535,0,72,0xD570,28885
3,72,0xE970,28905,2,8,0xFFFF,65535
5,72,0x016F,28417,4,72,0xE96F,28649
7,72,0x156F,28437,6,72,0x0170,28673
9,8,0xFFFF,65535,8,72,0x1570,28693
11,72,0x296F,28457,10,8,0xFFFF,65535
13,72,0x4170,28737,12,72,0x2970,28713
15,72,0x556F,28501,14,72,0x416F,28481
17,8,0xFFFF,65535,16,72,0x556F,28501
19,72,0x696F,28521,18,8,0xFFFF,65535
21,72,0x816F,28545,20,72,0x696F,28521
23,72,0x956F,28565,22,72,0x816F,28545
25,8,0xFFFF,65535,24,72,0x956F,28565
27,72,0xA970,28841,26,8,0xFFFF,65535
29,72,0xC170,28865,28,72,0xA970,28841
31,72,0xD56F,28629,30,72,0xC16F,28609
33,8,0xFFFF,65535,32,72,0xD570,28885
35,72,0xE970,28905,34,8,0xFFFF,65535
37,72,0x016F,28417,36,72,0xE970,28905
39,72,0x156F,28437,38,72,0x016F,28417
41,8,0xFFFF,65535,40,72,0x156F,28437
43,72,0x2970,28713,42,8,0xFFFF,65535
45,72,0x416F,28481,44,72,0x296F,28457
47,72,0x5570,28757,46,72,0x416F,28481
49,8,0xFFFF,65535,48,72,0x556F,28501
51,72,0x696F,28521,50,8,0xFFFF,65535
53,72,0x8170,28801,52,72,0x6970,28777
55,72,0x9570,28821,54,72,0x816F,28545
57,8,0xFFFF,65535,56,72,0x9570,28821
59,72,0xA96F,28585,58,8,0xFFFF,65535
61,72,0xC16F,28609,60,72,0xA96F,28585
63,72,0xD570,28885,62,72,0xC16F,28609
65,8,0xFFFF,65535,64,72,0xD570,28885
67,72,0xE970,28905,66,8,0xFFFF,65535
69,72,0x0170,28673,68,72,0xE96F,28649
71,72,0x1570,28693,70,72,0x016F,28417
73,8,0xFFFF,65535,72,72,0x156F,28437
75,72,0x296F,28457,74,8,0xFFFF,65535
77,72,0x416F,28481,76,72,0x296F,28457
79,72,0x5570,28757,78,72,0x4170,28737
81,8,0xFFFF,65535,80,72,0x556F,28501
83,72,0x6970,28777,82,8,0xFFFF,65535
85,72,0x8170,28801,84,72,0x6970,28777
87,72,0x956F,28565,86,72,0x8170,28801
89,8,0xFFFF,65535,88,72,0x9570,28821
91,72,0xA96F,28585,90,8,0xFFFF,65535
93,72,0xC170,28865,92,72,0xA96F,28585
95,72,0xD56F,28629,94,72,0xC16F,28609
97,8,0xFFFF,65535,96,72,0xD56F,28629
99,72,0xE970,28905,98,8,0xFFFF,65535
101,72,0x016F,28417,100,72,0xE970,28905
103,72,0x1570,28693,102,72,0x0170,28673
105,8,0xFFFF,65535,104,72,0x1570,28693
107,72,0x296F,28457,106,8,0xFFFF,65535
109,72,0x4170,28737,108,72,0x2970,28713
111,72,0x556F,28501,110,72,0x416F,28481
113,8,0xFFFF,65535,112,72,0x5570,28757
115,72,0x696F,28521,114,8,0xFFFF,65535
