seq,channel,size,sid,dbs,fn_q,dbc,fmt,fdf,syt_be,syt
1,1,72,0,2,0,0,144,255,0xFFFF,65535
3,1,72,0,2,0,0,144,255,0xFFFF,65535
5,1,72,0,2,0,0,144,255,0xFFFF,65535
7,1,72,0,2,0,0,144,255,0xFFFF,65535
9,1,72,0,2,0,0,144,255,0xFFFF,65535
11,1,72,0,2,0,0,144,255,0xFFFF,65535
13,1,72,0,2,0,0,144,255,0xFFFF,65535
15,1,72,0,2,0,0,144,255,0xFFFF,65535
17,1,72,0,2,0,0,144,255,0xFFFF,65535
19,1,72,0,2,0,0,144,255,0xFFFF,65535
21,1,72,0,2,0,0,144,255,0xFFFF,65535
23,1,72,0,2,0,0,144,255,0xFFFF,65535
25,1,72,0,2,0,0,144,255,0xFFFF,65535
27,1,72,0,2,0,0,144,255,0xFFFF,65535
29,1,72,0,2,0,0,144,255,0xFFFF,65535
31,1,72,0,2,0,0,144,255,0xFFFF,65535
33,1,72,0,2,0,0,144,255,0xFFFF,65535
35,1,72,0,2,0,0,144,255,0xFFFF,65535
37,1,72,0,2,0,0,144,255,0xFFFF,65535
39,1,72,0,2,0,0,144,255,0xFFFF,65535
41,1,72,0,2,0,0,144,255,0xFFFF,65535
43,1,72,0,2,0,0,144,255,0xFFFF,65535
45,1,72,0,2,0,0,144,255,0xFFFF,65535
47,1,72,0,2,0,0,144,255,0xFFFF,65535
49,1,72,0,2,0,0,144,255,0xFFFF,65535
51,1,72,0,2,0,0,144,255,0xFFFF,65535
53,1,72,0,2,0,0,144,255,0xFFFF,65535
55,1,72,0,2,0,0,144,255,0xFFFF,65535
57,1,72,0,2,0,0,144,255,0xFFFF,65535
59,1,72,0,2,0,0,144,255,0xFFFF,65535
61,1,72,0,2,0,0,144,255,0xFFFF,65535
63,1,72,0,2,0,0,144,255,0xFFFF,65535
65,1,72,0,2,0,0,144,255,0xFFFF,65535
67,1,72,0,2,0,0,144,255,0xFFFF,65535
69,1,72,0,2,0,0,144,255,0xFFFF,65535
71,1,72,0,2,0,0,144,255,0xFFFF,65535
73,1,72,0,2,0,0,144,255,0xFFFF,65535
75,1,72,0,2,0,0,144,255,0xFFFF,65535
77,1,72,0,2,0,0,144,255,0xFFFF,65535
79,1,72,0,2,0,0,144,255,0xFFFF,65535
81,1,72,0,2,0,0,144,255,0xFFFF,65535
83,1,72,0,2,0,0,144,255,0xFFFF,65535
85,1,72,0,2,0,0,144,255,0xFFFF,65535
87,1,72,0,2,0,0,144,255,0xFFFF,65535
89,1,72,0,2,0,0,144,255,0xFFFF,65535
91,1,72,0,2,0,0,144,255,0xFFFF,65535
93,1,72,0,2,0,0,144,255,0xFFFF,65535
95,1,72,0,2,0,0,144,255,0xFFFF,65535
97,1,72,0,2,0,0,144,255,0xFFFF,65535
99,1,72,0,2,0,0,144,255,0xFFFF,65535
101,1,72,0,2,0,0,144,255,0xFFFF,65535
103,1,72,0,2,0,0,144,255,0xFFFF,65535
105,1,72,0,2,0,0,144,255,0xFFFF,65535
107,1,72,0,2,0,0,144,255,0xFFFF,65535
109,1,72,0,2,0,0,144,255,0xFFFF,65535
111,1,72,0,2,0,0,144,255,0xFFFF,65535
113,1,72,0,2,0,0,144,255,0xFFFF,65535
115,1,72,0,2,0,0,144,255,0xFFFF,65535
117,1,72,0,2,0,0,144,255,0xFFFF,65535
119,1,72,0,2,0,0,144,255,0xFFFF,65535
121,1,72,0,2,0,0,144,255,0xFFFF,65535
123,1,72,0,2,0,0,144,255,0xFFFF,65535
125,1,72,0,2,0,0,144,255,0xFFFF,65535
127,1,72,0,2,0,0,144,255,0xFFFF,65535
129,1,72,0,2,0,0,144,255,0xFFFF,65535
131,1,72,0,2,0,0,144,255,0xFFFF,65535
133,1,72,0,2,0,0,144,255,0xFFFF,65535
135,1,72,0,2,0,0,144,255,0xFFFF,65535
137,1,72,0,2,0,0,144,255,0xFFFF,65535
139,1,72,0,2,0,0,144,255,0xFFFF,65535
141,1,72,0,2,0,0,144,255,0xFFFF,65535
143,1,72,0,2,0,0,144,255,0xFFFF,65535
145,1,72,0,2,0,0,144,255,0xFFFF,65535
147,1,72,0,2,0,0,144,255,0xFFFF,65535
149,1,72,0,2,0,0,144,255,0xFFFF,65535
151,1,72,0,2,0,0,144,255,0xFFFF,65535
153,1,72,0,2,0,0,144,255,0xFFFF,65535
155,1,72,0,2,0,0,144,255,0xFFFF,65535
157,1,72,0,2,0,0,144,255,0xFFFF,65535
159,1,72,0,2,0,0,144,255,0xFFFF,65535
161,1,72,0,2,0,0,144,255,0xFFFF,65535
163,1,72,0,2,0,0,144,255,0xFFFF,65535
165,1,72,0,2,0,0,144,255,0xFFFF,65535
167,1,72,0,2,0,0,144,255,0xFFFF,65535
169,1,72,0,2,0,0,144,255,0xFFFF,65535
171,1,72,0,2,0,0,144,255,0xFFFF,65535
173,1,72,0,2,0,0,144,255,0xFFFF,65535
175,1,72,0,2,0,0,144,255,0xFFFF,65535
177,1,72,0,2,0,0,144,255,0xFFFF,65535
179,1,72,0,2,0,0,144,255,0xFFFF,65535
181,1,72,0,2,0,0,144,255,0xFFFF,65535
183,1,72,0,2,0,0,144,255,0xFFFF,65535
185,1,72,0,2,0,0,144,255,0xFFFF,65535
187,1,72,0,2,0,0,144,255,0xFFFF,65535
189,1,72,0,2,0,0,144,255,0xFFFF,65535
191,1,72,0,2,0,0,144,255,0xFFFF,65535
193,1,72,0,2,0,0,144,255,0xFFFF,65535
195,1,72,0,2,0,0,144,255,0xFFFF,65535
197,1,72,0,2,0,0,144,255,0xFFFF,65535
199,1,72,0,2,0,0,144,255,0xFFFF,65535
201,1,72,0,2,0,0,144,255,0xFFFF,65535
203,1,72,0,2,0,0,144,255,0xFFFF,65535
205,1,72,0,2,0,0,144,255,0xFFFF,65535
207,1,72,0,2,0,0,144,255,0xFFFF,65535
209,1,72,0,2,0,0,144,255,0xFFFF,65535
211,1,72,0,2,0,0,144,255,0xFFFF,65535
213,1,72,0,2,0,0,144,255,0xFFFF,65535
215,1,72,0,2,0,0,144,255,0xFFFF,65535
217,1,72,0,2,0,0,144,255,0xFFFF,65535
219,1,72,0,2,0,0,144,255,0xFFFF,65535
221,1,72,0,2,0,0,144,255,0xFFFF,65535
223,1,72,0,2,0,0,144,255,0xFFFF,65535
225,1,72,0,2,0,0,144,255,0xFFFF,65535
227,1,72,0,2,0,0,144,255,0xFFFF,65535
229,1,72,0,2,0,0,144,255,0xFFFF,65535
231,1,72,0,2,0,0,144,255,0xFFFF,65535
233,1,72,0,2,0,0,144,255,0xFFFF,65535
235,1,72,0,2,0,0,144,255,0xFFFF,65535
237,1,72,0,2,0,0,144,255,0xFFFF,65535
239,1,72,0,2,0,0,144,255,0xFFFF,65535
241,1,72,0,2,0,0,144,255,0xFFFF,65535
243,1,72,0,2,0,0,144,255,0xFFFF,65535
245,1,72,0,2,0,0,144,255,0xFFFF,65535
247,1,72,0,2,0,0,144,255,0xFFFF,65535
249,1,72,0,2,0,0,144,255,0xFFFF,65535
251,1,72,0,2,0,0,144,255,0xFFFF,65535
253,1,72,0,2,0,0,144,255,0xFFFF,65535
255,1,72,0,2,0,0,144,255,0xFFFF,65535
257,1,72,0,2,0,0,144,255,0xFFFF,65535
259,1,72,0,2,0,0,144,255,0xFFFF,65535
261,1,72,0,2,0,0,144,255,0xFFFF,65535
263,1,72,0,2,0,0,144,255,0xFFFF,65535
265,1,72,0,2,0,0,144,255,0xFFFF,65535
267,1,72,0,2,0,0,144,255,0xFFFF,65535
269,1,72,0,2,0,0,144,255,0xFFFF,65535
271,1,72,0,2,0,0,144,255,0xFFFF,65535
273,1,72,0,2,0,0,144,255,0xFFFF,65535
275,1,72,0,2,0,0,144,255,0xFFFF,65535
277,1,72,0,2,0,0,144,255,0xFFFF,65535
279,1,72,0,2,0,0,144,255,0xFFFF,65535
281,1,72,0,2,0,0,144,255,0xFFFF,65535
283,1,72,0,2,0,0,144,255,0xFFFF,65535
285,1,72,0,2,0,0,144,255,0xFFFF,65535
287,1,72,0,2,0,0,144,255,0xFFFF,65535
289,1,72,0,2,0,0,144,255,0xFFFF,65535
291,1,72,0,2,0,0,144,255,0xFFFF,65535
293,1,72,0,2,0,0,144,255,0xFFFF,65535
295,1,72,0,2,0,0,144,255,0xFFFF,65535
297,1,72,0,2,0,0,144,255,0xFFFF,65535
299,1,72,0,2,0,0,144,255,0xFFFF,65535
301,1,72,0,2,0,0,144,255,0xFFFF,65535
303,1,72,0,2,0,0,144,255,0xFFFF,65535
305,1,72,0,2,0,0,144,255,0xFFFF,65535
307,1,72,0,2,0,0,144,255,0xFFFF,65535
309,1,72,0,2,0,0,144,255,0xFFFF,65535
311,1,72,0,2,0,0,144,255,0xFFFF,65535
313,1,72,0,2,0,0,144,255,0xFFFF,65535
315,1,72,0,2,0,0,144,255,0xFFFF,65535
317,1,72,0,2,0,0,144,255,0xFFFF,65535
319,1,72,0,2,0,0,144,255,0xFFFF,65535
321,1,72,0,2,0,0,144,255,0xFFFF,65535
323,1,72,0,2,0,0,144,255,0xFFFF,65535
325,1,72,0,2,0,0,144,255,0xFFFF,65535
327,1,72,0,2,0,0,144,255,0xFFFF,65535
329,1,72,0,2,0,0,144,255,0xFFFF,65535
331,1,72,0,2,0,0,144,255,0xFFFF,65535
333,1,72,0,2,0,0,144,255,0xFFFF,65535
335,1,72,0,2,0,0,144,255,0xFFFF,65535
337,1,72,0,2,0,0,144,255,0xFFFF,65535
339,1,72,0,2,0,0,144,255,0xFFFF,65535
341,1,72,0,2,0,0,144,255,0xFFFF,65535
343,1,72,0,2,0,0,144,255,0xFFFF,65535
345,1,72,0,2,0,0,144,255,0xFFFF,65535
347,1,72,0,2,0,0,144,255,0xFFFF,65535
349,1,72,0,2,0,0,144,255,0xFFFF,65535
351,1,72,0,2,0,0,144,255,0xFFFF,65535
353,1,72,0,2,0,0,144,255,0xFFFF,65535
355,1,72,0,2,0,0,144,255,0xFFFF,65535
357,1,72,0,2,0,0,144,255,0xFFFF,65535
359,1,72,0,2,0,0,144,255,0xFFFF,65535
361,1,72,0,2,0,0,144,255,0xFFFF,65535
363,1,72,0,2,0,0,144,255,0xFFFF,65535
365,1,72,0,2,0,0,144,255,0xFFFF,65535
367,1,72,0,2,0,0,144,255,0xFFFF,65535
369,1,72,0,2,0,0,144,255,0xFFFF,65535
371,1,72,0,2,0,0,144,255,0xFFFF,65535
373,1,72,0,2,0,0,144,255,0xFFFF,65535
375,1,72,0,2,0,0,144,255,0xFFFF,65535
377,1,72,0,2,0,0,144,255,0xFFFF,65535
379,1,72,0,2,0,0,144,255,0xFFFF,65535
381,1,72,0,2,0,0,144,255,0xFFFF,65535
383,1,72,0,2,0,0,144,255,0xFFFF,65535
385,1,72,0,2,0,0,144,255,0xFFFF,65535
387,1,72,0,2,0,0,144,255,0xFFFF,65535
389,1,72,0,2,0,0,144,255,0xFFFF,65535
391,1,72,0,2,0,0,144,255,0xFFFF,65535
393,1,72,0,2,0,0,144,255,0xFFFF,65535
395,1,72,0,2,0,0,144,255,0xFFFF,65535
397,1,72,0,2,0,0,144,255,0xFFFF,65535
399,1,72,0,2,0,0,144,255,0xFFFF,65535
401,1,72,0,2,0,0,144,255,0xFFFF,65535
403,1,72,0,2,0,0,144,255,0xFFFF,65535
405,1,72,0,2,0,0,144,255,0xFFFF,65535
407,1,72,0,2,0,0,144,255,0xFFFF,65535
409,1,72,0,2,0,0,144,255,0xFFFF,65535
411,1,72,0,2,0,0,144,255,0xFFFF,65535
413,1,72,0,2,0,0,144,255,0xFFFF,65535
415,1,72,0,2,0,0,144,255,0xFFFF,65535
417,1,72,0,2,0,0,144,255,0xFFFF,65535
